,Latitude,Longitude,Order Item Discount,Order Item Product Price,Order Profit Per Order,Days for shipping (real),Days for shipment (scheduled),Late_delivery
8765,40.48130035,-87.04908752,1.200000048,59.99000168,4.75,5,4,1
8766,27.88389015,-82.29720306,1.200000048,59.99000168,1.190000057,4,4,0
8767,37.128944399999995,-86.29595184,1.200000048,59.99000168,11.88000011,2,4,0
8768,39.94662857,-75.21822357,1.200000048,59.99000168,39.20000076,2,4,0
8769,38.83726883,-97.6128006,2.400000095,59.99000168,31.75,4,4,0
8770,34.19993973,-118.5710449,2.400000095,59.99000168,35.27000046,2,4,0
8771,42.00019074,-72.59646606,2.400000095,59.99000168,55.25999832,2,4,0
8772,40.03775024,-75.06806183,2.400000095,59.99000168,7.2899999620000004,5,4,1
8773,29.72074699,-97.73353577,3.599999905,59.99000168,1.159999967,5,4,1
8774,39.96744919,-75.58142853,3.599999905,59.99000168,29.10000038,4,4,0
8775,34.03822327,-117.8104706,6.0,59.99000168,51.29000092,6,4,1
8776,30.47071457,-97.64977264,6.599999905,59.99000168,32.88000107,6,4,1
8777,34.09960938,-118.3507385,6.599999905,59.99000168,-88.44000244,2,4,0
8778,42.77295685,-84.43538666,6.599999905,59.99000168,8.5,2,4,0
8779,42.34844208,-83.43744659,8.399999618999999,59.99000168,-74.41999817,2,4,0
8780,40.64818955,-73.94348145,8.399999618999999,59.99000168,51.33000183,6,4,1
8781,38.58826065,-90.49710083,8.399999618999999,59.99000168,25.65999985,6,4,1
8782,33.9031601,-117.9898758,10.80000019,59.99000168,-1.419999957,6,4,1
8783,41.90422058,-87.67411804,10.80000019,59.99000168,-1.5299999709999998,5,4,1
8784,36.54824066,-87.37922669,10.80000019,59.99000168,-15.0699997,6,4,1
8785,29.42638016,-98.52271271,10.80000019,59.99000168,5.4600000379999996,6,4,1
8786,21.28742981,-157.6713257,12.0,59.99000168,25.92000008,2,4,0
8787,33.64226151,-117.91332240000001,12.0,59.99000168,10.80000019,4,4,0
8788,34.12150574,-117.6062393,12.0,59.99000168,8.100000381000001,5,4,1
8789,34.13360977,-117.90589140000002,12.0,59.99000168,51.83000183,3,4,0
8790,35.06275177,-79.00574493,12.0,59.99000168,31.30999947,6,4,1
8791,40.0639801,-80.72141266,12.0,59.99000168,44.27000046,2,4,0
8792,40.68924332,-74.07952118,14.39999962,59.99000168,49.61999893,4,4,0
8793,36.31933212,-119.2960815,14.39999962,59.99000168,5.28000021,2,4,0
8794,32.76065064,-117.01667020000001,14.39999962,59.99000168,38.33000183,3,4,0
8795,34.82991028,-81.10264587,15.60000038,59.99000168,7.829999924,4,4,0
8796,30.2586937,-97.76625061,15.60000038,59.99000168,18.57999992,3,4,0
8797,32.98721314,-96.98584747,15.60000038,59.99000168,37.88999939,5,4,1
8798,41.70360565,-88.76895905,18.0,59.99000168,50.99000168,5,4,1
8799,34.82991028,-81.10264587,18.0,59.99000168,18.36000061,4,4,0
8800,41.70360565,-88.76895905,19.20000076,59.99000168,34.06000137,5,4,1
8801,26.11425972,-80.16235352,19.20000076,59.99000168,10.07999992,3,4,0
8802,46.17903137,-123.04573059999998,20.39999962,59.99000168,34.84999847,5,4,1
8803,26.140728,-97.66805267,21.60000038,59.99000168,31.96999931,2,4,0
8804,36.16392899,115.04978940000001,21.60000038,59.99000168,11.11999989,4,4,0
8805,40.56959915,-89.64508057,21.60000038,59.99000168,-65.62000275,6,4,1
8806,43.20886993,-77.45961762,21.60000038,59.99000168,34.43000031,6,4,1
8807,33.77386475,-118.02645109999999,24.0,59.99000168,14.39999962,3,4,0
8808,21.33713913,-158.02598569999998,24.0,59.99000168,9.600000381000001,5,4,1
8809,36.03287125,-115.17241670000001,24.0,59.99000168,7.1999998089999995,2,4,0
8810,40.64571381,-73.8972168,24.0,59.99000168,24.0,3,4,0
8811,40.79833603,-74.19944,30.0,59.99000168,0.8999999759999999,6,4,1
8812,39.35120392,-82.97659302,30.0,59.99000168,32.65999985,5,4,1
8813,42.01670456,-88.26392365,30.0,59.99000168,38.68999863,5,4,1
8814,39.21051407,-85.92923737,0.800000012,39.99000168,1.980000019,2,4,0
8815,26.19086266,-97.69604492,1.0,50.0,45.54000092,2,4,0
